"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Industrie automobile (NAF rév. 2, niveau division, poste 29)";"Codes"
"idBank";"010768135";""
"Dernière mise à jour";"03/04/2026 08:45";""
"Période";"";""
"2026-02";"99.48";"A"
"2026-01";"101.12";"A"
"2025-12";"107.47";"A"
"2025-11";"104.36";"A"
"2025-10";"101.84";"A"
"2025-09";"106.4";"A"
"2025-08";"103.63";"A"
"2025-07";"105.0";"A"
"2025-06";"106.44";"A"
"2025-05";"105.85";"A"
"2025-04";"107.39";"A"
"2025-03";"107.48";"A"
"2025-02";"104.5";"A"
"2025-01";"101.78";"A"
"2024-12";"92.48";"A"
"2024-11";"103.18";"A"
"2024-10";"99.44";"A"
"2024-09";"101.54";"A"
"2024-08";"103.72";"A"
"2024-07";"99.45";"A"
"2024-06";"102.99";"A"
"2024-05";"100.07";"A"
"2024-04";"105.85";"A"
"2024-03";"103.02";"A"
"2024-02";"105.29";"A"
"2024-01";"106.74";"A"
"2023-12";"110.2";"A"
"2023-11";"112.83";"A"
"2023-10";"121.2";"A"
"2023-09";"109.85";"A"
"2023-08";"109.42";"A"
"2023-07";"120.24";"A"
"2023-06";"116.34";"A"
"2023-05";"120.64";"A"
"2023-04";"110.48";"A"
"2023-03";"116.99";"A"
"2023-02";"117.46";"A"
"2023-01";"113.24";"A"
"2022-12";"114.1";"A"
"2022-11";"112.45";"A"
"2022-10";"111.34";"A"
"2022-09";"117.2";"A"
"2022-08";"122.06";"A"
"2022-07";"102.36";"A"
"2022-06";"103.43";"A"
"2022-05";"105.12";"A"
"2022-04";"89.23";"A"
"2022-03";"88.34";"A"
"2022-02";"94.97";"A"
"2022-01";"102.11";"A"
"2021-12";"104.81";"A"
"2021-11";"95.15";"A"
"2021-10";"93.88";"A"
"2021-09";"89.99";"A"
"2021-08";"92.06";"A"
"2021-07";"93.53";"A"
"2021-06";"94.61";"A"
"2021-05";"94.09";"A"
"2021-04";"105.79";"A"
"2021-03";"108.32";"A"
"2021-02";"111.38";"A"
"2021-01";"116.37";"A"
"2020-12";"117.14";"A"
"2020-11";"117.89";"A"
"2020-10";"131.98";"A"
"2020-09";"126.75";"A"
"2020-08";"112.14";"A"
"2020-07";"100.28";"A"
"2020-06";"84.79";"A"
"2020-05";"46.42";"A"
"2020-04";"9.34";"A"
"2020-03";"72.98";"A"
"2020-02";"124.09";"A"
"2020-01";"122.28";"A"
"2019-12";"123.18";"A"
"2019-11";"129.78";"A"
"2019-10";"131.69";"A"
"2019-09";"129.75";"A"
"2019-08";"132.06";"A"
"2019-07";"135.16";"A"
"2019-06";"139.38";"A"
"2019-05";"146.76";"A"
"2019-04";"140.67";"A"
"2019-03";"144.33";"A"
"2019-02";"142.48";"A"
"2019-01";"143.73";"A"
"2018-12";"140.77";"A"
"2018-11";"134.85";"A"
"2018-10";"138.42";"A"
"2018-09";"137.13";"A"
"2018-08";"139.4";"A"
"2018-07";"140.68";"A"
"2018-06";"140.3";"A"
"2018-05";"140.7";"A"
"2018-04";"142.67";"A"
"2018-03";"142.59";"A"
"2018-02";"140.42";"A"
"2018-01";"140.27";"A"
"2017-12";"145.88";"A"
"2017-11";"145.15";"A"
"2017-10";"146.02";"A"
"2017-09";"145.81";"A"
"2017-08";"134.79";"A"
"2017-07";"140.82";"A"
"2017-06";"135.58";"A"
"2017-05";"137.83";"A"
"2017-04";"128.71";"A"
"2017-03";"137.52";"A"
"2017-02";"130.91";"A"
"2017-01";"129.67";"A"
"2016-12";"136.47";"A"
"2016-11";"137.07";"A"
"2016-10";"127.91";"A"
"2016-09";"127.52";"A"
"2016-08";"137.01";"A"
"2016-07";"127.26";"A"
"2016-06";"130.81";"A"
"2016-05";"128.6";"A"
"2016-04";"133.57";"A"
"2016-03";"126.72";"A"
"2016-02";"128.64";"A"
"2016-01";"129.76";"A"
"2015-12";"123.45";"A"
"2015-11";"128.73";"A"
"2015-10";"128.27";"A"
"2015-09";"126.4";"A"
"2015-08";"136.93";"A"
"2015-07";"121.16";"A"
"2015-06";"123.04";"A"
"2015-05";"122.21";"A"
"2015-04";"125.77";"A"
"2015-03";"121.54";"A"
"2015-02";"122.92";"A"
"2015-01";"118.89";"A"
"2014-12";"113.38";"A"
"2014-11";"112.85";"A"
"2014-10";"115.26";"A"
"2014-09";"118.85";"A"
"2014-08";"120.01";"A"
